id,sentiment
9352_10,1
3374_7,1
10782_7,1
5414_10,1
10492_1,0
3350_3,0
6581_7,1
2203_3,0
689_1,0
9152_1,0
6077_1,0
4656_4,0
9727_7,1
1297_8,1
5586_8,1
1119_1,0
11241_1,0
4005_10,1
6827_4,0
9011_9,1
11885_1,0
7897_8,1
4613_4,0
12106_10,1
11427_1,0
10135_2,0
4221_8,1
9983_3,0
9788_9,1
7316_1,0
9897_10,0
9654_10,1
2395_7,1
4439_4,0
8516_2,1
9057_3,0
11289_4,0
301_10,1
4155_10,1
8880_3,0
9569_9,1
1510_8,1
1782_4,1
8352_1,1
5983_8,1
11232_1,0
796_3,0
1150_10,1
11268_1,0
10064_10,1
6666_4,1
11471_7,0
9343_1,0
1142_3,0
6403_3,0
5440_2,0
8697_7,1
8459_3,0
6520_7,1
9952_8,1
8605_10,1
10531_10,1
11736_9,1
2614_1,0
2382_1,0
7168_10,1
9060_1,0
1777_10,1
5466_1,0
10533_10,1
5198_3,0
4784_2,0
11761_1,0
292_10,0
5240_1,0
3088_8,1
4032_4,0
2399_7,1
11259_1,0
8437_3,0
1864_1,0
5107_1,0
8157_4,0
2681_3,0
11724_8,1
12397_8,1
4680_10,1
1889_10,1
2511_4,0
9170_1,0
2592_10,1
2493_1,0
1587_2,0
6244_8,1
5971_3,0
2301_10,1
1520_7,1
6235_1,1
2230_10,1
11464_1,0
7700_2,0
2229_7,0
8815_2,0
116_1,0
2090_10,1
10069_1,0
2982_1,0
2119_4,0
3167_7,1
10147_1,0
10018_8,1
2302_9,1
8132_3,0
4414_9,1
7068_8,1
12174_7,1
11950_2,0
2050_7,0
1033_4,0
3476_10,1
6694_10,1
475_1,1
6237_4,0
3160_1,0
1986_10,1
4886_1,0
6752_3,0
9934_3,0
12349_4,0
1052_8,1
11973_4,0
4541_10,0
5169_7,1
6809_1,0
8125_7,1
4802_8,1
5752_1,0
6993_7,0
11220_10,1
4056_4,1
5427_3,0
3027_8,1
6940_4,1
2326_8,1
11211_8,1
5639_7,1
1556_8,1
2977_1,0
10865_7,1
12322_10,1
8273_2,0
12422_1,0
10464_1,0
8473_8,1
10869_7,1
3832_4,1
5514_4,1
6609_1,0
8158_2,0
5225_4,0
6998_4,1
1668_1,0
10392_3,0
5852_7,1
6147_1,0
3856_10,1
12304_10,1
1074_4,0
9219_2,0
11652_10,1
3675_2,0
58_3,0
10468_9,1
4502_7,1
3610_1,0
6390_2,0
8807_9,1
12148_10,1
10771_2,0
6766_3,0
2072_10,1
4794_8,1
11139_8,1
6884_10,1
9135_2,0
11127_9,1
4998_9,1
2795_7,1
5280_8,1
1537_1,0
2342_1,0
725_2,0
5516_3,0
1816_1,0
4682_4,0
225_9,1
3209_1,0
12245_10,1
2729_4,1
3407_2,0
9985_1,0
10091_1,0
454_4,1
12135_10,1
11269_1,0
8520_8,0
3617_2,0
3974_8,1
4364_1,0
7260_10,1
9973_4,0
10851_2,0
12259_7,1
1305_10,1
9277_1,0
7828_10,1
8611_3,0
1171_4,1
4118_10,1
2365_3,0
8514_1,0
6921_1,0
5290_3,0
10942_2,0
937_1,0
2950_10,1
1012_10,1
4379_8,1
802_10,1
9842_1,0
9309_9,0
2290_10,1
5610_7,1
463_4,0
4753_10,1
9239_2,1
8671_7,0
8645_1,0
9440_8,1
6064_3,0
3391_3,1
3028_1,0
9338_3,0
6166_1,0
104_3,0
8551_4,0
7293_10,1
3060_1,0
4625_10,1
10004_8,1
11391_8,1
12368_3,0
9098_10,1
10836_10,1
8931_4,0
7730_7,0
4543_7,0
7679_4,0
3749_1,0
9144_1,0
4104_9,1
1794_7,1
10838_1,0
5086_7,0
12130_4,0
8790_1,1
365_1,0
12456_3,0
4340_2,0
11753_10,1
7325_1,0
5647_10,1
477_4,0
8824_8,1
4684_1,0
10301_8,1
11667_1,0
5112_9,0
6723_10,1
5766_1,0
1583_8,1
3293_10,1
1376_1,0
12003_4,0
11228_10,0
580_3,0
6209_8,1
1407_7,0
4923_7,1
8613_7,1
9998_9,1
8391_1,0
8791_1,0
8495_8,1
7450_9,1
8135_2,0
4451_9,1
3210_3,0
3759_1,0
724_10,1
7881_9,1
60_4,0
418_4,0
5157_1,0
4031_10,1
4106_4,0
5251_7,1
6645_1,0
6478_10,1
1066_10,0
12274_3,0
5424_1,0
3861_10,1
11095_7,1
9457_1,0
422_7,1
4648_9,1
10289_1,0
4565_8,1
10073_4,0
4954_2,0
7573_9,1
11315_4,1
8655_1,0
5345_9,1
1789_3,1
5123_2,0
11698_3,1
1267_7,0
5320_2,0
2500_1,0
9552_8,1
9223_9,1
7481_1,0
11420_9,1
9845_3,0
6662_1,0
11924_10,1
3906_10,1
6725_9,1
5775_3,0
827_4,0
11821_2,0
2985_4,1
6591_3,0
8878_4,0
6648_1,0
3141_10,1
1937_2,1
4759_2,1
7271_7,1
5100_4,0
4969_7,1
6537_1,0
253_7,0
6762_9,1
5162_9,1
11508_1,0
8075_1,0
544_8,0
6505_10,1
4170_1,0
6866_1,0
7970_10,1
1189_4,1
9867_1,0
9844_1,0
12336_3,0
1038_7,1
12058_4,0
2509_9,1
11799_8,0
7071_9,1
291_3,1
1472_1,0
4916_9,1
11700_10,1
10119_2,0
3974_4,1
10154_1,0
8778_3,0
5844_8,1
4225_10,1
2277_4,0
1253_10,1
469_7,0
7591_8,0
6955_10,1
9885_4,0
8305_3,0
4208_10,1
9731_8,1
2490_8,0
8381_8,1
961_1,0
11643_2,1
11574_10,1
11764_3,0
6763_8,1
6844_1,0
6178_3,1
10320_2,0
10006_4,0
8377_1,0
1757_8,1
2425_4,0
424_8,1
6885_1,0
9635_3,0
8370_10,1
8169_4,0
11769_1,0
1283_1,0
2951_8,1
4217_9,1
4507_3,0
10264_4,1
4513_8,0
8758_4,1
7399_10,1
9855_2,0
12417_10,1
2816_7,1
2124_10,1
9682_10,1
2460_1,0
10142_2,0
51_1,0
4852_8,1
1598_8,1
1495_9,1
1592_3,1
9114_1,0
5054_1,0
6961_2,0
10297_3,0
7957_10,1
4109_10,0
7328_2,0
4134_7,1
7627_10,1
4653_10,0
3044_1,0
669_7,1
6721_10,1
5735_2,0
6815_8,1
4623_4,0
5363_1,0
8855_10,1
3876_8,1
7103_1,0
697_2,0
6512_7,1
7292_10,1
3346_2,0
3628_1,0
9402_7,1
11759_10,1
5048_2,0
5341_10,0
3792_8,1
9113_4,0
11098_1,0
6537_7,1
11361_10,1
4992_4,0
160_9,1
1664_4,0
4847_1,0
5259_9,1
11832_7,0
11111_9,1
4818_9,1
3972_7,1
9907_4,0
11456_10,1
654_10,1
988_1,0
7290_3,0
10104_1,0
5371_3,0
8102_1,0
10914_8,1
2366_7,1
6383_3,0
6635_10,1
2907_4,1
4941_10,1
10692_4,0
10150_3,1
4750_7,1
8912_10,0
1116_9,1
8361_4,0
6487_1,0
11318_1,0
6908_2,0
952_3,1
1615_8,1
12158_3,1
2504_10,1
1201_8,1
12062_10,0
7129_10,1
2138_4,0
6252_10,1
1883_7,1
10828_1,0
7349_7,1
2044_1,0
605_8,1
972_9,1
4953_8,1
4528_3,1
2223_3,0
692_8,1
5313_7,1
3259_7,1
3628_8,1
4374_10,1
3678_8,0
2268_1,0
3043_8,1
2163_4,0
12172_3,0
11715_7,1
5809_10,1
7481_10,1
8031_1,0
211_4,0
6530_8,1
8476_1,0
11278_1,0
11950_8,0
3178_4,0
8299_1,1
757_8,1
10448_1,0
8454_3,0
4250_8,1
6804_7,1
7207_7,1
11097_9,0
10001_4,0
12481_8,1
3847_4,1
9033_4,1
9695_1,0
7934_3,0
1846_8,1
11444_10,1
3790_1,0
2901_7,1
1131_7,1
4046_1,1
5172_9,1
298_8,0
11499_1,0
8758_10,1
2646_10,0
4000_10,0
3248_10,0
4266_7,1
9167_7,1
3377_2,1
12246_9,1
7224_3,0
6299_1,0
8534_3,0
11641_1,0
3401_8,1
7505_9,1
10693_4,0
9979_1,0
391_8,1
2621_4,1
1686_10,1
7564_1,0
6434_7,1
859_1,0
487_8,1
7894_10,1
11960_8,1
7252_4,0
7332_7,1
8622_1,0
7635_10,1
11036_8,1
7589_8,1
4386_9,1
11349_4,1
11666_10,1
5007_1,0
3148_4,1
884_8,1
12164_1,0
11250_9,1
1261_8,1
10343_3,1
625_4,0
5474_9,1
9160_8,1
1575_9,0
3074_1,0
2639_7,1
5113_3,1
5539_3,0
8350_3,0
7525_7,1
5397_9,1
6005_4,1
2025_1,0
3119_4,0
4276_4,0
2080_9,1
2129_4,1
10409_2,0
5849_2,1
9653_9,1
7260_1,0
2017_1,0
1177_1,0
4025_9,1
11518_8,0
9470_8,1
1174_4,1
5642_7,0
3086_1,0
4706_8,1
